id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
624208,Landing Page Submission,Google,No,No,0,5.0,239,5.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,,,No
619490,Landing Page Submission,Google,No,No,1,4.0,395,4.0,SMS Sent,International Business,,No,No,No,No,No,No,,,Yes
606165,Landing Page Submission,Organic Search,No,No,0,3.0,142,3.0,Converted to Lead,Finance Management,Unemployed,No,No,No,No,No,No,,,No
598461,Landing Page Submission,Organic Search,No,No,0,13.0,181,13.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
603189,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
590580,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
626514,API,Google,Yes,No,0,3.0,373,3.0,Email Bounced,,,No,No,No,No,No,No,,,No
649470,API,Google,No,No,1,10.0,764,10.0,Email Opened,Human Resource Management,Working Professional,No,No,No,No,No,No,16.0,16.0,No
584471,Landing Page Submission,Google,No,No,0,6.0,120,6.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
626584,API,Organic Search,No,No,0,4.0,319,1.33,Email Opened,,,No,No,No,No,No,No,,,No
641957,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,No,No,No,No,No,No,17.0,15.0,No
633311,Landing Page Submission,Direct Traffic,No,No,0,4.0,196,4.0,Page Visited on Website,Human Resource Management,,No,No,No,No,No,No,,,Yes
588437,Landing Page Submission,Direct Traffic,No,No,0,2.0,44,2.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,16.0,17.0,Yes
639602,Lead Add Form,Reference,No,No,1,,1129,,,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
591471,Landing Page Submission,Google,No,No,0,3.0,1576,3.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,11.0,16.0,No
657379,Landing Page Submission,Organic Search,No,No,1,4.0,31,1.33,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,15.0,18.0,Yes
624095,Landing Page Submission,Direct Traffic,No,No,1,3.0,131,3.0,Converted to Lead,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,No
581862,Landing Page Submission,Direct Traffic,No,No,1,2.0,1505,2.0,SMS Sent,Supply Chain Management,,No,No,No,No,No,No,15.0,17.0,No
608730,API,Google,No,No,0,2.0,388,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
606978,Landing Page Submission,Organic Search,No,No,0,5.0,89,5.0,Page Visited on Website,Media and Advertising,Unemployed,No,No,No,No,No,No,,,No
590945,Landing Page Submission,Direct Traffic,No,No,0,2.0,531,2.0,Email Opened,Business Administration,,No,No,No,No,No,No,14.0,17.0,Yes
645308,Landing Page Submission,Google,No,No,1,3.0,423,3.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,14.0,18.0,No
654968,Landing Page Submission,Google,No,No,0,5.0,362,5.0,Unreachable,Business Administration,Unemployed,No,No,No,No,No,No,12.0,18.0,No
581287,Landing Page Submission,Direct Traffic,No,No,0,3.0,210,3.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes
603831,Landing Page Submission,Direct Traffic,No,No,1,2.0,1106,2.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,,,Yes
656331,Landing Page Submission,Google,No,No,1,5.0,472,5.0,Had a Phone Conversation,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
587032,Landing Page Submission,Direct Traffic,No,No,0,2.0,1451,2.0,Email Opened,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
614685,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
636443,Landing Page Submission,Google,No,No,1,18.0,874,3.6,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
656271,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
586108,Landing Page Submission,Organic Search,No,No,0,5.0,208,5.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
631563,Landing Page Submission,Direct Traffic,No,No,1,7.0,1290,7.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,20.0,Yes
608492,Landing Page Submission,Google,No,No,1,2.0,1318,2.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,No
648419,Landing Page Submission,Direct Traffic,No,No,0,4.0,1371,4.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
637589,Landing Page Submission,Direct Traffic,No,No,0,2.0,89,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,17.0,Yes
646199,API,Google,No,No,1,3.0,1117,1.5,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,14.0,15.0,No
587880,Lead Add Form,,No,No,1,0.0,0,0.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,14.0,17.0,No
602403,API,Chat,No,No,1,4.0,882,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
581641,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,14.0,15.0,No
625676,Landing Page Submission,Direct Traffic,No,No,1,5.0,1149,5.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
590168,API,Google,No,No,0,2.0,312,2.0,Chat Conversation,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,15.0,No
627366,API,Google,No,No,1,2.0,717,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
587802,API,Chat,No,No,0,11.0,8,1.38,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
645335,Landing Page Submission,Direct Traffic,No,No,0,2.0,1603,2.0,Page Visited on Website,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
589584,Lead Add Form,Reference,No,No,1,,1469,,,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
609686,API,Direct Traffic,No,No,0,3.0,129,3.0,Email Link Clicked,,,No,No,No,No,No,No,,,No
580745,API,Chat,No,No,1,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
642430,Landing Page Submission,Direct Traffic,No,No,0,2.0,199,2.0,Email Opened,Marketing Management,,No,No,No,No,No,No,13.0,16.0,Yes
589932,API,Direct Traffic,No,No,0,2.0,25,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
646755,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
583924,Landing Page Submission,Direct Traffic,No,No,1,3.0,1353,3.0,Email Opened,Healthcare Management,Student,No,No,No,No,No,No,15.0,17.0,Yes
587099,Landing Page Submission,Google,No,No,0,2.0,205,2.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,14.0,18.0,No
608239,API,Chat,Yes,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
658029,Landing Page Submission,Direct Traffic,No,No,0,3.0,66,3.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,14.0,Yes
619487,API,Organic Search,No,No,1,8.0,1138,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
641053,API,Direct Traffic,No,No,1,5.0,1885,1.67,SMS Sent,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,14.0,12.0,No
591552,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
587886,Landing Page Submission,Direct Traffic,No,No,0,3.0,451,3.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
654190,Lead Import,Facebook,No,No,0,,345,,,Select,Unemployed,No,No,No,No,No,No,13.0,13.0,No
615839,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
630627,Landing Page Submission,Google,No,No,1,4.0,1554,4.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
585749,Landing Page Submission,Direct Traffic,No,No,0,11.0,1858,5.5,Email Opened,Hospitality Management,Unemployed,No,No,No,No,No,No,12.0,16.0,Yes
646645,Landing Page Submission,Direct Traffic,No,No,0,2.0,19,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
582690,API,Chat,Yes,No,0,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,14.0,15.0,No
653933,Landing Page Submission,Direct Traffic,No,No,0,2.0,25,2.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,13.0,15.0,Yes
651541,Landing Page Submission,Direct Traffic,No,No,1,3.0,1662,3.0,Page Visited on Website,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,20.0,Yes
638374,Landing Page Submission,Organic Search,No,No,1,3.0,209,3.0,Unsubscribed,Human Resource Management,Unemployed,No,No,No,No,No,No,12.0,20.0,Yes
593014,Landing Page Submission,Direct Traffic,No,No,0,1.0,28,1.0,Converted to Lead,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
585392,Landing Page Submission,Direct Traffic,No,No,1,2.0,1486,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes
652507,API,Organic Search,No,No,0,19.0,415,4.75,Page Visited on Website,,,No,No,No,No,No,No,18.0,15.0,No
579979,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,16.0,15.0,No
651660,Lead Add Form,,Yes,No,1,,1378,,Email Bounced,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No
645530,API,Google,No,No,1,2.0,1108,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
610944,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
586483,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
603088,Landing Page Submission,Direct Traffic,No,No,0,4.0,2207,4.0,SMS Sent,IT Projects Management,,No,No,No,No,No,No,,,Yes
611048,Landing Page Submission,Google,No,No,1,4.0,849,4.0,SMS Sent,"Banking, Investment And Insurance",,No,No,No,No,No,No,,,No
615885,Landing Page Submission,Google,No,No,0,2.0,1446,2.0,Email Opened,Marketing Management,,No,No,No,No,No,No,,,No
655021,API,Google,No,No,0,7.0,333,7.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
610126,Landing Page Submission,Direct Traffic,No,No,1,4.0,63,2.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,,,Yes
599075,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Student,No,No,No,No,No,No,,,No
602075,Landing Page Submission,Direct Traffic,No,No,0,2.0,144,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,,,No
638198,API,Google,No,No,0,3.0,355,3.0,Email Opened,Healthcare Management,Working Professional,No,No,No,No,No,No,14.0,14.0,No
643643,Landing Page Submission,Google,No,No,0,2.0,253,2.0,Form Submitted on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,12.0,18.0,No
617817,Landing Page Submission,Direct Traffic,No,No,0,3.0,341,1.5,Chat Conversation,Finance Management,,No,No,No,No,No,No,14.0,18.0,Yes
581322,API,Chat,No,No,1,2.0,103,1.0,SMS Sent,,,No,No,No,No,No,No,15.0,15.0,No
581991,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,15.0,15.0,No
581157,API,Google,No,No,1,2.0,1159,1.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
608733,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
634051,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,,,No
590078,Landing Page Submission,Direct Traffic,No,No,1,14.0,1135,2.33,Page Visited on Website,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,17.0,No
586917,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,17.0,15.0,No
594910,API,Chat,No,No,1,0.0,0,0.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,14.0,14.0,No
634343,Landing Page Submission,Google,No,No,1,7.0,602,7.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,15.0,14.0,No
609489,Landing Page Submission,Google,No,No,1,4.0,1304,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
642886,API,Google,No,No,0,14.0,148,14.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
616421,Landing Page Submission,Google,No,No,0,4.0,287,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
644985,Landing Page Submission,Direct Traffic,No,No,1,2.0,940,2.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,15.0,20.0,Yes
608869,API,Chat,No,No,0,3.0,289,1.0,Chat Conversation,Human Resource Management,,No,No,No,No,No,No,,,Yes
596830,Landing Page Submission,Organic Search,No,No,0,4.0,1134,4.0,Converted to Lead,Hospitality Management,Unemployed,No,No,No,No,No,No,,,Yes
616959,Landing Page Submission,Direct Traffic,No,No,0,5.0,250,5.0,SMS Sent,Healthcare Management,,No,No,No,No,No,No,,,Yes
641447,API,Google,Yes,No,1,9.0,898,4.5,Email Bounced,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
586377,Landing Page Submission,Direct Traffic,No,No,0,1.0,533,1.0,Converted to Lead,Operations Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
593868,API,Chat,No,No,0,3.0,190,3.0,Chat Conversation,Business Administration,,No,No,No,No,No,No,13.0,16.0,No
627806,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
631718,Landing Page Submission,Google,No,No,0,13.0,112,4.33,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,18.0,Yes
584027,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,17.0,16.0,No
630041,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
587781,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
607383,Landing Page Submission,Direct Traffic,No,No,0,3.0,338,3.0,Email Opened,Operations Management,,No,No,No,No,No,No,,,Yes
630610,Landing Page Submission,Google,No,No,0,7.0,137,3.5,Email Opened,Retail Management,,No,No,No,No,No,No,,,No
654613,Landing Page Submission,Direct Traffic,No,No,0,3.0,308,1.5,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,10.0,19.0,No
634228,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
582295,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
581079,Landing Page Submission,Direct Traffic,No,No,0,2.0,363,2.0,Email Opened,IT Projects Management,,No,No,No,No,No,No,15.0,15.0,Yes
584649,Landing Page Submission,Organic Search,No,No,1,8.0,1508,8.0,Unreachable,Operations Management,Working Professional,No,No,No,No,No,Yes,14.0,16.0,Yes
647630,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
624135,Lead Add Form,Reference,Yes,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,,,No
595710,API,Google,Yes,No,1,3.0,156,1.5,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
619486,API,Google,No,No,1,6.0,1352,2.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,,,No
609470,Landing Page Submission,Organic Search,No,No,0,4.0,296,4.0,Email Opened,Finance Management,,No,No,No,No,No,No,,,No
583217,Landing Page Submission,Direct Traffic,No,No,1,7.0,229,3.5,Converted to Lead,Healthcare Management,Student,No,No,No,No,No,No,14.0,15.0,Yes
601654,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,760,1.0,Email Bounced,Travel and Tourism,,No,No,No,No,No,No,,,Yes
603303,API,Chat,No,No,0,3.0,1315,1.5,Chat Conversation,Finance Management,,No,No,No,No,No,No,16.0,14.0,Yes
632702,Landing Page Submission,Organic Search,No,No,1,3.0,191,3.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
581257,Lead Add Form,Reference,No,No,1,,1159,,,Supply Chain Management,Working Professional,No,No,No,No,No,No,14.0,20.0,No
651934,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
594617,Landing Page Submission,Direct Traffic,No,No,0,3.0,515,3.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,,,Yes
588992,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
626466,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
633515,Landing Page Submission,Direct Traffic,No,No,1,3.0,765,3.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,,,Yes
638770,API,Google,No,No,0,1.0,257,1.0,Unreachable,,,No,No,No,No,No,No,13.0,15.0,No
599435,Landing Page Submission,Direct Traffic,No,No,0,1.0,335,1.0,Converted to Lead,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,Yes
641312,API,Direct Traffic,No,No,1,6.0,1040,6.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,16.0,No
613195,API,Google,No,No,1,2.0,916,2.0,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,,,No
581667,Landing Page Submission,Direct Traffic,No,No,0,2.0,321,2.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,20.0,Yes
643787,Landing Page Submission,Direct Traffic,No,No,1,2.0,850,2.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,15.0,16.0,No
582125,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,"Banking, Investment And Insurance",Working Professional,No,No,No,No,No,No,16.0,16.0,No
581724,Landing Page Submission,Direct Traffic,No,No,1,2.0,1013,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
579941,Landing Page Submission,Google,No,No,0,4.0,346,4.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,20.0,No
601485,Landing Page Submission,Direct Traffic,No,No,0,1.0,1658,1.0,Converted to Lead,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
585399,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,15.0,16.0,No
648540,Landing Page Submission,Direct Traffic,No,No,1,2.0,330,2.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,13.0,17.0,Yes
659263,API,Organic Search,No,No,1,3.0,1207,1.5,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
588195,Landing Page Submission,Direct Traffic,No,No,0,2.0,1119,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,16.0,17.0,Yes
593560,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
644173,API,Google,No,No,0,3.0,1344,3.0,Email Opened,Hospitality Management,Unemployed,No,No,No,No,No,No,13.0,12.0,No
637048,API,Google,No,No,1,6.0,1411,1.5,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,15.0,18.0,No
596920,API,Chat,No,No,0,0.0,0,0.0,Page Visited on Website,,,No,No,No,No,No,No,,,No
622630,API,Referral Sites,No,No,0,3.0,536,3.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
609618,Landing Page Submission,Direct Traffic,No,No,0,2.0,422,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
615769,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
630564,Landing Page Submission,Google,No,No,0,6.0,239,6.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
655382,API,Referral Sites,No,No,0,4.0,248,2.0,Chat Conversation,,,No,No,No,No,No,No,14.0,13.0,No
618476,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
